,FIRMS_18_lat,FIRMS_18_lng,FIRMS_18_cf,FIRMS_18_aq,dist_between,no,postal_code
319,-34.10368,150.96361,h,10/03/2019,14.12715059,12343,2234
320,-34.10368,150.96361,h,10/03/2019,12.41679172,12453,2227
321,-34.10368,150.96361,h,10/03/2019,5.151069736,12455,2233
322,-34.10368,150.96361,h,10/03/2019,9.420426485,12481,2232
323,-34.10368,150.96361,h,10/03/2019,14.82146173,12497,2228
324,-34.10368,150.96361,h,10/03/2019,12.76664955,12753,2227
325,-34.10368,150.96361,h,10/03/2019,12.91381981,12754,2227
326,-34.10368,150.96361,h,10/03/2019,13.5345894,12762,2234
327,-34.10368,150.96361,h,10/03/2019,11.78889791,12774,2232
328,-34.10368,150.96361,h,10/03/2019,12.29243663,12819,2234
329,-34.10368,150.96361,h,10/03/2019,14.89020735,12864,2213
330,-34.10368,150.96361,h,10/03/2019,14.50580382,12954,2228
331,-34.10368,150.96361,h,10/03/2019,7.846346605,12989,2233
332,-34.10368,150.96361,h,10/03/2019,13.28096107,12996,2227
333,-34.10368,150.96361,h,10/03/2019,14.17458591,13015,2228
334,-34.10368,150.96361,h,10/03/2019,9.541889014,13051,2233
335,-34.10368,150.96361,h,10/03/2019,12.23327602,13132,2227
336,-34.10368,150.96361,h,10/03/2019,14.45619787,13292,2226
337,-34.10368,150.96361,h,10/03/2019,4.722983273,13324,2233
338,-34.10368,150.96361,h,10/03/2019,13.79535659,13331,2226
339,-34.10368,150.96361,h,10/03/2019,13.9743076,13361,2228
340,-34.10368,150.96361,h,10/03/2019,14.39427242,13497,2232
341,-34.10368,150.96361,h,10/03/2019,9.465353576,13510,2232
342,-34.10368,150.96361,h,10/03/2019,11.58917783,13737,2232
343,-34.10368,150.96361,h,10/03/2019,12.30918234,13743,2227
344,-34.10368,150.96361,h,10/03/2019,12.87543006,13755,2234
345,-34.10368,150.96361,h,10/03/2019,13.99850355,13959,2234
346,-34.10368,150.96361,h,10/03/2019,11.67418628,14123,2232
347,-34.10368,150.96361,h,10/03/2019,13.46080875,14129,2227
348,-34.10368,150.96361,h,10/03/2019,14.75789596,14130,2227
349,-34.10368,150.96361,h,10/03/2019,12.69816016,14131,2227
350,-34.10368,150.96361,h,10/03/2019,13.46783026,14141,2234
351,-34.10368,150.96361,h,10/03/2019,14.69119676,14249,2213
352,-34.10368,150.96361,h,10/03/2019,14.51399826,14345,2228
353,-34.10368,150.96361,h,10/03/2019,14.36181018,14346,2228
354,-34.10368,150.96361,h,10/03/2019,13.98826762,14347,2228
355,-34.10368,150.96361,h,10/03/2019,12.9376209,14401,2560
356,-34.10368,150.96361,h,10/03/2019,4.899038968,14481,2233
357,-34.10368,150.96361,h,10/03/2019,14.45173553,14535,2228
358,-34.10368,150.96361,h,10/03/2019,14.53591916,14734,2226
359,-34.10368,150.96361,h,10/03/2019,13.01273962,14744,2560
360,-34.10368,150.96361,h,10/03/2019,12.50490717,14798,2232
361,-34.10368,150.96361,h,10/03/2019,12.21920124,14971,2227
362,-34.10368,150.96361,h,10/03/2019,4.830302223,14973,2233
363,-34.10368,150.96361,h,10/03/2019,10.39519459,15024,2234
364,-34.10368,150.96361,h,10/03/2019,14.60762735,15166,2228
365,-34.10368,150.96361,h,10/03/2019,11.06964615,15181,2234
366,-34.10368,150.96361,h,10/03/2019,14.81357168,15324,2228
367,-34.10368,150.96361,h,10/03/2019,13.74483539,15432,2234
368,-34.10368,150.96361,h,10/03/2019,14.88320611,15501,2229
369,-34.10368,150.96361,h,10/03/2019,11.34443183,15726,2232
370,-34.10368,150.96361,h,10/03/2019,8.449644884,15769,2234
371,-34.10368,150.96361,h,10/03/2019,12.95560594,15787,2226
372,-34.10368,150.96361,h,10/03/2019,13.78870316,15788,2226
373,-34.10368,150.96361,h,10/03/2019,6.556504879,15840,2233
374,-34.10368,150.96361,h,10/03/2019,14.21235816,15872,2226
375,-34.10368,150.96361,h,10/03/2019,14.36313885,16034,2228
376,-34.10368,150.96361,h,10/03/2019,14.36877398,16297,2228
377,-34.10368,150.96361,h,10/03/2019,11.75704065,16373,2232
378,-34.10368,150.96361,h,10/03/2019,14.1456497,16375,2227
379,-34.10368,150.96361,h,10/03/2019,10.79659966,16393,2232
380,-34.10368,150.96361,h,10/03/2019,14.8162661,16410,2228
381,-34.10368,150.96361,h,10/03/2019,12.33601773,16500,2232
382,-34.10368,150.96361,h,10/03/2019,12.81792266,16567,2226
383,-34.10368,150.96361,h,10/03/2019,12.87498266,16677,2227
384,-34.10368,150.96361,h,10/03/2019,13.89294043,16684,2234
385,-34.10368,150.96361,h,10/03/2019,13.19457607,16695,2232
386,-34.10368,150.96361,h,10/03/2019,12.15904347,16709,2560
387,-34.10368,150.96361,h,10/03/2019,13.70577848,16725,2566
388,-34.10368,150.96361,h,10/03/2019,14.55097423,16726,2228
389,-34.10368,150.96361,h,10/03/2019,14.22423843,16765,2213
390,-34.10368,150.96361,h,10/03/2019,12.06223992,16841,2560
391,-34.10368,150.96361,h,10/03/2019,11.89887011,16842,2560
392,-34.10368,150.96361,h,10/03/2019,11.89645722,16843,2560
393,-34.10368,150.96361,h,10/03/2019,13.08618597,16896,2226
394,-34.10368,150.96361,h,10/03/2019,14.47442336,16927,2226
395,-34.10368,150.96361,h,10/03/2019,6.607548268,16972,2233
396,-34.10368,150.96361,h,10/03/2019,13.70661098,17015,2234
397,-34.10368,150.96361,h,10/03/2019,14.39211315,17016,2226
398,-34.10368,150.96361,h,10/03/2019,14.2031169,17017,2226
399,-34.10368,150.96361,h,10/03/2019,13.17272674,17024,2232
400,-34.10368,150.96361,h,10/03/2019,11.57452562,17133,2560
401,-34.10368,150.96361,h,10/03/2019,14.0291651,17217,2228
402,-34.10368,150.96361,h,10/03/2019,11.87781017,17242,2234
403,-34.10368,150.96361,h,10/03/2019,14.47898448,17298,2226
404,-34.10368,150.96361,h,10/03/2019,6.174128422,17338,2233
