price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences
1971000,2.836370513,0.39,0.402,0.611,665,6622,867
1580000,2.510744546,0.567,0.319,0.475,665,6622,867
1700000,2.412698654,0.503,0.161,0.474,665,6622,867
1700000,2.412698654,0.503,0.161,0.474,665,6622,867
1080000,2.812026167,0.339,0.327,0.485,665,6622,867
1390000,2.39279513,0.479,0.113,0.495,665,6622,867
1850000,2.575700115,0.452,0.496,0.431,665,6622,867
1270000,2.825205001,0.504,0.533,0.649,665,6622,867
1840000,2.84238712,0.369,0.335,0.481,665,6622,867
600000,2.670030259,0.082,0.435,0.311,665,6622,867
600000,2.670030259,0.082,0.435,0.311,665,6622,867
1235000,3.125433677,0.31,0.839,0.871,621,4104,664
738000,3.579644857,0.429,0.711,0.827,621,4104,664
1130000,3.506821191,0.774,0.887,0.993,621,4104,664
1330000,3.275210502,0.179,0.677,0.83,621,4104,664
970000,3.668808865,0.302,0.28,0.479,621,4104,664
980000,3.642661998,0.442,0.666,0.773,621,4104,664
977000,3.618412019,0.228,0.335,0.529,621,4104,664
1350000,3.684569156,0.507,0.699,0.792,621,4104,664
730000,3.725169939,0.334,0.404,0.531,621,4104,664
710000,3.642661998,0.442,0.666,0.773,621,4104,664
690000,3.723566291,0.387,0.239,0.436,621,4104,664
620000,3.763487746,0.346,0.219,0.396,621,4104,664
990000,3.725169939,0.334,0.404,0.531,621,4104,664
900500,3.470206312,0.746,0.88,0.985,621,4104,664
1453000,3.253416322,0.269,0.799,0.973,621,4104,664
990000,3.146589875,0.512,0.883,0.992,621,4104,664
1350000,3.418351812,0.082,0.592,0.77,621,4104,664
1255000,3.292788439,0.717,0.797,0.899,621,4104,664
865000,3.426603612,0.62,0.951,1.054,621,4104,664
1550000,3.65016202,0.237,0.392,0.551,621,4104,664
940000,3.570083259,0.168,0.463,0.629,621,4104,664
1475000,4.068650258,0.646,0.248,0.216,621,4104,664
835000,4.236927922,0.909,0.951,0.905,621,4104,664
835000,4.236927922,0.909,0.951,0.905,621,4104,664
681000,4.233458383,0.947,0.774,0.714,621,4104,664
1940000,4.047568324,0.627,0.268,0.254,621,4104,664
705000,4.233458383,0.947,0.774,0.714,621,4104,664
1800000,3.988501671,0.569,0.262,0.291,621,4104,664
1540000,3.904221482,0.492,0.301,0.373,621,4104,664
750000,4.236927922,0.909,0.951,0.905,621,4104,664
648880,4.798769845,0.704,1.21,1.077,621,4104,664
1380000,4.205787209,0.8,0.451,0.354,621,4104,664
865000,3.934635593,0.582,0.487,0.522,621,4104,664
791000,4.115254963,0.953,0.91,0.892,621,4104,664
2000000,4.077591904,0.658,0.3,0.264,621,4104,664
1440000,3.904155017,0.757,0.816,0.849,621,4104,664
960000,4.277231328,0.98,0.784,0.711,621,4104,664
945000,4.236927922,0.909,0.951,0.905,621,4104,664
927000,4.031925866,0.722,0.613,0.61,621,4104,664
1125000,3.211961844,0.227,0.781,0.919,621,4104,664
950000,3.261133227,0.814,0.671,0.774,621,4104,664
710000,3.344006235,0.109,0.656,0.838,621,4104,664
1520000,3.194534011,0.314,0.853,1.01,621,4104,664
1068000,3.722592033,0.601,0.776,0.853,621,4104,664
876000,3.310026208,0.585,0.921,1.021,621,4104,664
1630000,3.089801189,0.243,0.794,0.611,621,4104,664
876000,3.574266982,0.576,0.861,0.963,621,4104,664
822000,3.516890177,0.801,0.874,0.98,621,4104,664
1000000,3.146589875,0.512,0.883,0.992,621,4104,664
1040000,3.45251866,0.112,0.576,0.748,621,4104,664
780000,3.313260991,0.597,0.912,1.012,621,4104,664
835000,3.45329568,0.175,0.613,0.777,621,4104,664
900000,3.65016202,0.237,0.392,0.551,621,4104,664
1385000,3.846641453,0.454,0.103,0.3,621,4104,664
741000,3.574266982,0.576,0.861,0.963,621,4104,664
1100000,3.111391667,0.543,0.845,0.955,621,4104,664
675000,3.571170746,0.209,0.506,0.661,621,4104,664
1150000,3.591867166,0.417,0.688,0.805,621,4104,664
750000,3.904155017,0.757,0.816,0.849,621,4104,664
1050000,3.915141905,0.783,0.841,0.871,621,4104,664
968000,4.383184884,1.037,0.755,0.645,621,4104,664
1350000,4.369773608,0.905,0.911,0.826,621,4104,664
700000,4.059960442,0.936,0.933,0.929,621,4104,664
1320000,4.08137058,0.658,0.213,0.163,621,4104,664
865000,4.369773608,0.905,0.911,0.826,621,4104,664
1627500,4.033688316,0.61,0.207,0.206,621,4104,664
900000,4.323363296,1,0.762,0.672,621,4104,664
870000,4.236927922,0.909,0.951,0.905,621,4104,664
840000,4.315031182,0.971,0.709,0.614,621,4104,664
716000,4.172200668,0.749,0.284,0.152,621,4104,664
745000,4.059960442,0.936,0.933,0.929,621,4104,664
900000,4.245494966,0.906,0.672,0.596,621,4104,664
1315000,6.957342085,0.75,0.564,1.911,248,1765,198
1405000,6.594215981,0.932,0.284,2.233,248,1765,198
646000,6.132885722,0.599,0.624,1.838,248,1765,198
1100000,6.630199881,0.571,0.436,1.85,248,1765,198
1585000,6.960820655,0.796,0.615,1.976,248,1765,198
1075000,6.408004449,0.611,0.548,1.912,248,1765,198
1850000,5.743032202,0.638,0.251,1.274,248,1765,198
1755000,5.435654667,0.938,0.596,1.251,248,1765,198
1800000,5.335897903,1.045,0.707,1.163,248,1765,198
